2024-07-31 16:18:35.877303	[0.24273973703384405, 0.21084837118784594, 1.5904444444444443]	[-0.016526084393262842, 0.2413360675175984, 1.725]	[0.10533929988741875, 0.5672589540481567, 2.2847777777777774]
2024-07-31 16:18:35.981920	[0.24240456325443172, 0.21672822508895617, 1.5902865497076024]	[-0.017390133322853774, 0.24162742129543374, 1.7241578947368423]	[0.10409039455024821, 0.5704105214068764, 2.2834619883040936]
2024-07-31 16:18:36.138922	[0.24202851170323433, 0.21902218046810068, 1.5900680606806068]	[-0.017554541314330034, 0.2432540851618824, 1.7246088560885606]	[0.10359609092678532, 0.5726967280201366, 2.2849512095120947]
2024-07-31 16:18:36.243201	[0.24175987733453816, 0.21984343357969888, 1.589747439501147]	[-0.01749439370813289, 0.24446195388840902, 1.7244091305612095]	[0.10344132638906595, 0.573745828896423, 2.283878097638202]
2024-07-31 16:18:36.381666	[0.2417313616534243, 0.22107236550963252, 1.5898591107529596]	[-0.017627374680272923, 0.2461614629044773, 1.724023149617836]	[0.10310064667154882, 0.5743718086845002, 2.279197962877043]
2024-07-31 16:18:36.517993	[0.24142542824650196, 0.22547521638966117, 1.590096703648534]	[-0.017886013797617843, 0.24918587066531964, 1.7226328837445295]	[0.1023410629815936, 0.5765521861802924, 2.275444873141071]
2024-07-31 16:18:36.657531	[0.2420268576860658, 0.22695060046662535, 1.5900773010562763]	[-0.01843303472976442, 0.2529136792565058, 1.7209296394878435]	[0.10207836319148005, 0.5767295309753285, 2.271138371332677]
2024-07-31 16:18:36.817548	[0.2474308883262008, 0.22616954073863602, 1.5882838894179767]	[-0.022270123004237957, 0.25807274806062147, 2.728125507720609]	[0.1022010931787427, 0.5775271084048903, 2.259655927544844]
2024-07-31 16:18:36.975272	[0.2598120754004785, 0.21684408315369003, 1.590194096467594]	[-0.033025755955235235, 0.2598287999170518, 2.832166296305341]	[0.10286365771842515, 0.5785305838393239, 2.143262915842511]
2024-07-31 16:18:37.139713	[0.27680085242312746, 0.20038577305955527, 1.5952397825042939]	[-0.05059200668506129, 0.25796105819686876, 2.937716343923226]	[0.10426659784112721, 0.5792148383786625, 2.123051945550102]
2024-07-31 16:18:37.277199	[0.29637168028332606, 0.1835666996555928, 1.6002979902810677]	[-0.07275108821357681, 0.255061253203376, 3.0561727918732147]	[0.10540942916201443, 0.5833657667525147, 2.0307966757018554]
2024-07-31 16:18:37.422514	[0.3155958155153572, 0.1663606167509135, 1.60539420282777]	[-0.09625086589509853, 0.25401306684381664, 3.3363283789027]	[0.10680396653189086, 0.5866612374952858, 1.910732504158086]
2024-07-31 16:18:37.639995	[0.32871639189079055, 0.15419492086042552, 1.6118559416538465]	[-0.11673447999695057, 0.25271940030559714, 1.9004724779479]	[0.10707439836865598, 0.5891163249245314, 1.78729321492624]
2024-07-31 16:18:37.853324	[0.33291589341651434, 0.15329094540946409, 1.615217604237042]	[-0.12849707852381598, 0.2561300750477509, 2.0228647380745013]	[0.10676938385596987, 0.5904969487844413, 1.831338399008029]
2024-07-31 16:18:38.011456	[0.33112000969660066, 0.15736049449923264, 1.6149323066320451]	[-0.13149010311627585, 0.2622628746497081, 2.1832475831549356]	[0.1060426569562678, 0.5921560326343561, 1.7141655393030697]
2024-07-31 16:18:38.168101	[0.32823897948012054, 0.15584350182834608, 1.616206555802463]	[-0.13123686302801965, 0.2704113969866666, 2.365312571392911]	[0.10565997353583893, 0.5886480738568175, 1.6980399257649388]
2024-07-31 16:18:38.397237	[0.3274132749962489, 0.15243452017191209, 1.619386152556307]	[-0.1303978804051796, 0.27372539110865207, 2.3170412552671356]	[0.10511696666098132, 0.5896960439919197, 1.7222014575685307]
2024-07-31 16:18:38.553639	[0.327404626655905, 0.13663683379573535, 1.6335948301357448]	[-0.13051224986154436, 0.26741521516053945, 2.3627752924226515]	[0.10569753003019702, 0.5884882095942919, 1.7796537786351712]
2024-07-31 16:18:38.722063	[0.3276674071518479, 0.11209063280959385, 1.761286808896269]	[-0.1320599738619173, 0.2499904970508982, 2.2672410740207134]	[0.10480950566416276, 0.5895400630773077, 1.8591791436377896]
2024-07-31 16:18:38.877963	[0.3285849387166975, 0.07168557601573816, 1.880504350728106]	[-0.13430908197142122, 0.21280003188230906, 2.272472380270188]	[0.10432702186127955, 0.5907370514614801, 1.9471843314096253]
2024-07-31 16:18:39.033666	[0.3284483056652183, 0.005166526737955861, 1.9863610276780652]	[-0.13384807690645467, 0.14533245604843603, 2.2295668264782575]	[0.10288653019423151, 0.5922702107408313, 2.048728667594605]
2024-07-31 16:18:39.200993	[0.3232609372487675, -0.08651653479560609, 2.0966030160706968]	[-0.13092125614055747, 0.04685941141826765, 2.1499627603721523]	[0.10209542558278341, 0.5894316371487266, 2.152682778062671]
2024-07-31 16:18:39.415896	[0.3122384601371641, -0.19987356047360055, 2.1927150307006475]	[-0.11986653675986313, -0.08242026345503334, 2.0111813332465087]	[0.09933016213047217, 0.5863470312049924, 2.2088743376230133]
2024-07-31 16:18:39.584923	[0.2925252624207028, -0.31663072416917515, 2.0959188732333223]	[-0.09803121417363495, -0.22244979161598585, 2.1032405259402163]	[0.09825083099864002, 0.580365969648245, 2.2469300546181215]
2024-07-31 16:18:39.753386	[0.2649255212665562, -0.4191337360030298, 2.021643473636514]	[-0.06525766064269456, -0.35197980550683616, 1.992783065940596]	[0.09692458717916574, 0.5728280089724815, 2.2764226433216934]
2024-07-31 16:18:39.921805	[0.23191116738996506, -0.4923112304265216, 1.9789652701467064]	[-0.028444530122371997, -0.4564439954471867, 1.9396580547483582]	[0.09690295342219604, 0.5670338496411171, 2.298733847226632]
2024-07-31 16:18:40.148712	[0.20055520813700656, -0.5442224497489565, 1.9472157456472372]	[0.011225912542665523, -0.5300536877741046, 1.9399515952669724]	[0.09590875252101401, 0.5617702045224326, 2.3116629494870566]
2024-07-31 16:18:40.302999	[0.17414630988632288, -0.5644780433686505, 1.9386376618126273]	[0.04570549648907452, -0.5687821072974082, 1.9225470765874666]	[0.09802968618038017, 0.5563130486984078, 2.3256980212123435]
2024-07-31 16:18:40.516367	[0.15541468951973486, -0.571158227420865, 1.9414218266274872]	[0.0714889929525998, -0.5815818910313358, 1.917848355351518]	[0.09905754030223868, 0.5525989618243987, 2.3337578053988643]
2024-07-31 16:18:40.742675	[0.14562310173218598, -0.5711776335706165, 1.9446919272083985]	[0.08636503783153014, -0.581967018307001, 1.9214360631540677]	[0.09921718717532187, 0.5515203719677523, 2.3362906915853365]
