2024-08-02 16:59:21.911329	[0.20636525005102152, 0.7809301217397053, 1.9125555555555556]	[-0.05821751430630684, 0.42856454849243164, 2.166444444444444]	[0.14229058474302292, 0.6695807576179504, 2.208888888888889]
2024-08-02 16:59:22.022364	[0.20495496219710302, 0.7815693533211424, 1.9132923976608192]	[-0.05743458808252687, 0.4072526191410266, 2.2141812865497075]	[0.1417033503714361, 0.6657734889733165, 2.2096783625731]
2024-08-02 16:59:22.137240	[0.2042570894384736, 0.779756578425493, 1.9123083230832307]	[-0.05605513434788398, 0.39044076578203596, 2.2539462894628945]	[0.1409226206588349, 0.6646624909115892, 2.21140180401804]
2024-08-02 16:59:22.256931	[0.20398654478273617, 0.7811987480013086, 1.9122429646861168]	[-0.05487623493376428, 0.3778635387539898, 2.173923362734645]	[0.14065695470066292, 0.6645088722692668, 2.2104687086039227]
2024-08-02 16:59:22.393500	[0.20402751788134915, 0.7814707387089763, 1.9121328308357688]	[-0.053672704077065946, 0.36851427769684825, 2.090943821749028]	[0.14041737302868873, 0.6639642973239716, 2.2115151251224368]
2024-08-02 16:59:22.596083	[0.20332800674622167, 0.7814625148176317, 1.9115874120561431]	[-0.051632103129516556, 0.3440691254688606, 2.000435330571225]	[0.1399771828735746, 0.662209639217166, 2.2126792155394392]
2024-08-02 16:59:22.736948	[0.20327173450029318, 0.7815072417242721, 1.910772948157554]	[-0.049791594742233124, 0.33053263124914617, 1.8734345003106698]	[0.13968324128992582, 0.6621834754708055, 2.215140398145209]
2024-08-02 16:59:22.953030	[0.20351396099415947, 0.7837915598677112, 1.9113394788894043]	[-0.04894978746366819, 0.3254777668701453, 1.7852591009851884]	[0.13972488536117894, 0.6625992941878508, 2.2151244169861544]
2024-08-02 16:59:23.176196	[0.20362998484784306, 0.7821121459996896, 1.9106252241839163]	[-0.04948343739676953, 0.3247707588780753, 1.8159646406681158]	[0.13997948289924392, 0.661722918908467, 2.217380063978902]
2024-08-02 16:59:23.348261	[0.20341892259159108, 0.7811432721422652, 1.909969999375948]	[-0.05212173510932047, 0.32040081441862867, 1.8321541327168787]	[0.13988857805208205, 0.6638280060281917, 2.213772931877936]
2024-08-02 16:59:23.526953	[0.20305244210685486, 0.7807306992193835, 1.909138306214202]	[-0.05570772752955047, 0.3066879222833823, 1.8604350212584688]	[0.13937160336382676, 0.6629585568009622, 2.2154552378316636]
2024-08-02 16:59:23.700260	[0.2030267819131994, 0.7794353726588398, 1.9085110986300702]	[-0.0600313776320091, 0.28030993963810763, 2.000531426447326]	[0.13928292951971233, 0.6641563039752161, 2.210753670375707]
2024-08-02 16:59:23.880295	[0.20263730625605308, 0.7775718998233834, 1.908012331811189]	[-0.06434203176283755, 0.2350575791574884, 2.01744925235851]	[0.13976500589304194, 0.6645143351573269, 2.208760383005164]
2024-08-02 16:59:24.070331	[0.20219087126902682, 0.7763874352346547, 1.9074084420676203]	[-0.06742023806683775, 0.17447819979959558, 2.0268696518060882]	[0.13928855058514522, 0.665733593796488, 2.2071276213577744]
2024-08-02 16:59:24.239703	[0.2013734933496037, 0.7755611549138676, 1.9074905835971991]	[-0.06735870662515996, 0.107948652721009, 2.161140064413025]	[0.13968920754706557, 0.6615552533700765, 2.2119794931069383]
2024-08-02 16:59:24.396999	[0.2009245226431372, 0.7753817998417737, 1.9086562477106788]	[-0.06511651182298911, 0.04809577567884404, 2.2919463179572337]	[0.1396768064199037, 0.6647990532260347, 2.206093241516284]
2024-08-02 16:59:24.554894	[0.19963769449623325, 0.7743777194153197, 1.9087291641229764]	[-0.06000227846860397, -0.013116959604542695, 2.159374146337493]	[0.13924514695979084, 0.6619501996222574, 2.212389891442076]
2024-08-02 16:59:24.710383	[0.1982948555763698, 0.772803940203459, 1.9075425562799988]	[-0.05207172219356159, -0.06449496299269765, 2.104420187812535]	[0.13737718083372147, 0.6585945917824646, 2.220331417764863]
2024-08-02 16:59:24.864891	[0.19657315438753528, 0.774292390250444, 1.9102257114871706]	[-0.040573083124639114, -0.10899400253980493, 2.0558047938050628]	[0.13496860138716615, 0.6574490197161721, 2.2243755843704807]
2024-08-02 16:59:25.023244	[0.19515830309362608, 0.773675588931983, 1.9097086925024218]	[-0.027776616207642338, -0.14489811932155766, 2.0177707775417235]	[0.12941227226764238, 0.6519835601068149, 2.2389739363304115]
2024-08-02 16:59:25.242126	[0.19337173826085183, 0.77203013231036, 1.9106611560157263]	[-0.010732627063658504, -0.1851092066615244, 1.977200128066334]	[0.1266249802117943, 0.6479879532761954, 2.2465009238683633]
2024-08-02 16:59:25.457249	[0.1919963842451213, 0.7710803968608916, 1.9101557606787518]	[0.008517450268738841, -0.21561490021478702, 2.087328427741556]	[0.12396774654199824, 0.6489890000560555, 2.248730064928546]
2024-08-02 16:59:25.614460	[0.1904220310909964, 0.7701488810055295, 1.9101199400910032]	[0.030354049889593816, -0.23827192578089806, 2.0877200773824547]	[0.1215266636702296, 0.6434473921544055, 2.256692507848133]
2024-08-02 16:59:25.879201	[0.18957874651927603, 0.7670848392032671, 1.907479136311961]	[0.054835288607984825, -0.25005814614478816, 2.0910290509796265]	[0.11972060510161169, 0.6241184073310642, 2.290618753035471]
2024-08-02 16:59:26.070372	[0.18861807165364264, 0.7664316687513244, 1.908151690774069]	[0.08171850085158054, -0.2537469696090552, 2.0873941512756438]	[0.12337706735470581, 0.6182055175093365, 2.2967243779150697]
2024-08-02 16:59:26.278515	[0.1867643944670399, 0.7379769813312588, 1.9756593733974754]	[0.11149001915647984, -0.24771211079297162, 2.084121361844373]	[0.12337623225180112, 0.5478072173254664, 2.2209395592021903]
2024-08-02 16:59:26.543524	[0.1865074380776323, 0.7255553085539103, 2.0204042690586856]	[0.14018759709742623, -0.22932433667064975, 2.0835474320258087]	[0.12150875817871451, 0.47461545254872056, 2.1323850156962663]
2024-08-02 16:59:26.750799	[0.18733372907216922, 0.7218018737759994, 2.03321147496059]	[0.16742377872264844, -0.20561336320038456, 2.08685192330129]	[0.1223532855331502, 0.4560552863206524, 2.11553099232416]
2024-08-02 16:59:27.017575	[0.18839415771623944, 0.7171722656214153, 2.047147118914475]	[0.19115493629109642, -0.1783720664323707, 2.09424765912649]	[0.1254911740721422, 0.46247311571090294, 2.049232120230411]
2024-08-02 16:59:27.273826	[0.18936270198112665, 0.7132681141796021, 2.0634816298068968]	[0.21327875682118996, -0.14103784949817566, 2.1111077900688904]	[0.12639304775745497, 0.46168226492407566, 2.0027067470879834]
2024-08-02 16:59:27.471404	[0.19278271154250765, 0.7554447291960923, 1.9642357912844348]	[0.2296023270895911, -0.09684944461400435, 2.1397659642011186]	[0.12701574874426116, 0.548664957652444, 2.12556576830304]
2024-08-02 16:59:27.725978	[0.19382073981142292, 0.7720057003735986, 1.9102711696092078]	[0.24518703355774285, -0.05343269957541899, 2.1716335240761997]	[0.12799820438751863, 0.6344676483888737, 2.264106479559582]
2024-08-02 16:59:27.922969	[0.194356724895139, 0.7726491918236102, 1.9099509983476188]	[0.2571652907191251, 0.0007498097035678018, 2.2172751581157972]	[0.12314907403338997, 0.6387279513965075, 2.259942413562008]
2024-08-02 16:59:28.189328	[0.19425735029123287, 0.775048110988354, 1.910237549483258]	[0.26489368530809454, 0.06170284558375751, 2.149639637073033]	[0.12195615850789088, 0.6361750068936673, 2.2661804270143993]
2024-08-02 16:59:28.459768	[0.1945663363579117, 0.7761503289862997, 1.9091062733510782]	[0.2691806787537852, 0.11953652472030002, 2.062514658440033]	[0.12216456891236407, 0.6341774819511532, 2.2654401330587506]
2024-08-02 16:59:28.626811	[0.19483986657286317, 0.7760987380415061, 1.9077921499678479]	[0.2692611630072565, 0.17566380189469294, 1.958674825468921]	[0.12180311495916218, 0.6266804066732753, 2.2783942625197056]
2024-08-02 16:59:28.840009	[0.19502720092282375, 0.7775926243311537, 1.90647299346916]	[0.2653067936286924, 0.2321676116759632, 1.8501041027352476]	[0.12427436427813493, 0.6244381811370728, 2.2800896545736236]
2024-08-02 16:59:28.995024	[0.19555843717592525, 0.7790383076804216, 1.907180190959928]	[0.25917810486997894, 0.2833776728897873, 1.6974741547486294]	[0.13340676900787451, 0.6266640689820674, 2.2742006490141335]
2024-08-02 16:59:29.150603	[0.1957635024622018, 0.7796335667072157, 1.9073518269802123]	[0.2519880953253485, 0.3281050266389359, 1.6714362123839062]	[0.1338366852220719, 0.615989571265262, 2.2929856956416748]
2024-08-02 16:59:29.365631	[0.19624334124502157, 0.7808400691843701, 1.9087587876025278]	[0.2430746701410765, 0.36955911903809546, 1.6530008194074761]	[0.1341744377443697, 0.6109276936649884, 2.3002564419807956]
2024-08-02 16:59:29.562066	[0.1966147717249568, 0.7820511920590315, 1.9110197688836794]	[0.2335083541574707, 0.40271037231449136, 1.7366767735966293]	[0.13400908959044058, 0.6150542182749564, 2.296190208351987]
2024-08-02 16:59:29.755863	[0.1967825099566778, 0.7816304584974466, 1.9132824676646074]	[0.223909552285198, 0.42735080774381207, 1.8019636014857867]	[0.13361593563108637, 0.6183792494428642, 2.294624996269254]
2024-08-02 16:59:30.010262	[0.19650877519416968, 0.7820816806414299, 1.9148605732053756]	[0.21187417801959982, 0.44855303439007377, 1.8926760708597539]	[0.1327423434691352, 0.6287889583335367, 2.2819861894567763]
2024-08-02 16:59:30.204774	[0.196152220251697, 0.7816934403700296, 1.9170682685811502]	[0.1979122900952059, 0.46755603164708326, 2.0704186168293273]	[0.1320595463198351, 0.6407928714947004, 2.26852124083254]
2024-08-02 16:59:30.412911	[0.1959722822918269, 0.7802146156253407, 1.917522331566995]	[0.18185377326635432, 0.4824391357866866, 2.268169959219555]	[0.13142385630227746, 0.6448134569099297, 2.2678435501507224]
2024-08-02 16:59:30.607193	[0.195197935633383, 0.7801705445274731, 1.917695780051498]	[0.16389111905659817, 0.49538201932873027, 2.302478946383076]	[0.13069140477905733, 0.6457738818384312, 2.2641650156420003]
2024-08-02 16:59:30.861996	[0.19442015702712204, 0.779492677407456, 1.9174871051853302]	[0.14439468634329866, 0.5066725913399652, 2.345244167148272]	[0.12998707449492444, 0.652127527194461, 2.246951418904436]
2024-08-02 16:59:31.055367	[0.1938375197149937, 0.7804482937185167, 1.9176207581418447]	[0.12434962148637389, 0.5169457166468339, 2.385066591780421]	[0.1297004982992475, 0.6552603097119869, 2.2372387351821557]
2024-08-02 16:59:31.251854	[0.19380471001508073, 0.7806989969753522, 1.9167396699035977]	[0.10184689793990549, 0.5164100332118384, 2.407274194905022]	[0.1290833190329485, 0.6550270584848688, 2.2324505058891524]
2024-08-02 16:59:31.445785	[0.19345333961781902, 0.7801600006558536, 1.9155381390767832]	[0.0790625120001233, 0.5109211483516999, 2.3923970680406668]	[0.1288547505253005, 0.659466679949268, 2.219912345106211]
2024-08-02 16:59:31.653949	[0.1936420115894303, 0.7801862239243799, 1.9157610151970244]	[0.05643451680710123, 0.5005240348807286, 2.363780816639941]	[0.1284222128506739, 0.6610287763208369, 2.2127889211768]
2024-08-02 16:59:31.860682	[0.19385375130197213, 0.780735335111294, 1.9162443787833159]	[0.03557719616127292, 0.4863612321608243, 2.3098627275415877]	[0.12776167066275895, 0.6595258899889093, 2.2153417797421855]
2024-08-02 16:59:32.053553	[0.1937878704903088, 0.7825718295861118, 1.915853768324746]	[0.015941937150320513, 0.46684930015073917, 2.248652777438619]	[0.12743988360138284, 0.6612602290541042, 2.2127480050683883]
2024-08-02 16:59:32.319589	[0.19338737244648346, 0.784155509154068, 1.9148917595283255]	[0.0006612825277526766, 0.44549842173666626, 2.207826681752447]	[0.1272740790548626, 0.6609515324462386, 2.2115821700189118]
2024-08-02 16:59:32.574867	[0.19335220051880553, 0.7872251816436635, 1.9155510216817393]	[-0.012868467493213406, 0.4184176187228505, 2.2005016211786987]	[0.1273521275686042, 0.6608316015651097, 2.2118331963132096]
2024-08-02 16:59:32.841812	[0.1932512963518756, 0.7896726202807783, 1.9159450237275446]	[-0.024379857290385252, 0.38058582295735155, 2.1176601928049514]	[0.1274099298483234, 0.6605030806395706, 2.2134185327179643]
2024-08-02 16:59:33.109151	[0.19254178567319524, 0.7923058151270176, 1.915873442243983]	[-0.034154382080501235, 0.3294406811918324, 2.0493251446851115]	[0.1270168630504462, 0.6592235368458635, 2.215408295551052]
2024-08-02 16:59:33.308271	[0.19197560035812852, 0.7946051165283121, 1.9156173231422922]	[-0.0408627929618123, 0.27241657180469725, 2.0741225122707627]	[0.1266283845904073, 0.6593818120218652, 2.2155917315816467]
2024-08-02 16:59:33.575897	[0.1915795462997122, 0.7968152479167779, 1.9141242596165067]	[-0.04427387170576021, 0.21704643118096512, 2.0547773816403887]	[0.12583829868588603, 0.6613655069139788, 2.2154352573129406]
2024-08-02 16:59:33.775026	[0.19118257273601783, 0.7991803863935, 1.9129106221798955]	[-0.04528410329896973, 0.1685023805255254, 2.0663131547459157]	[0.12430958712669506, 0.66000973457545, 2.2184846279700134]
2024-08-02 16:59:34.042727	[0.19076844595683973, 0.7996754232344143, 1.9116853149699236]	[-0.04477724482505412, 0.13504025725135788, 2.2223413429057493]	[0.1237792963957729, 0.6597629752977932, 2.2227709946033065]
